"id","sensor_name","lat","lon","address","serial","description","account_id"
41,"homey-chestnut-buzzard",,,,,,41
42,"muzzy-zucchini-gar",,,,,,42
43,"ugly-mauve-ant",,,,,,43
44,"silly-flax-albatross",,,,,,44
45,"shabby-jade-ostrich",,,,,,45
2,"baggy-heliotrope-guppy",,,,,,2
3,"hasty-periwinkle-crane",,,,,,3
46,"tasty-auburn-scorpion",,,,,,46
5,"sleazy-celadon-beaver",,,,,,5
6,"smelly-mustard-kiwi",,,,,,6
47,"stealthy-mauve-hyrax",,,,,,47
48,"lumpy-lime-chinchilla",,,,,,48
7,"DustduinoBR SP Minhoca01",-23.5456106346922,-46.64773732423782,,,"Amaral Gurgel420 República SP",7
8,"clammy-cornflower-penguin",,,,,,8
9,"nerdy-bronze-spaniel",,,,,,9
10,"hasty-heliotrope-orangutan",,,,,,10
12,"CUrb-Morumbi",-23.62079685896328,-46.73667669296265,,,"A 55 metros de altura, com visão do céu",12
11,"Goiaba01",-23.530369522776127,-46.66262090206146,,,"R. Marta 105 - Barra Funda",11
49,"lumpy-cerise-wombat",,,,,,49
50,"chummy-corn-chameleon",,,,,,50
15,"skanky-eggplant-macaw",,,,,,15
51,"squeaky-corn-kakapo",,,,,,51
14,"Garoa",-23.56477386236125,-46.699039936065674,,,"Test Sensor Garoa",14
18,"skinny-xanthic-koala",,,,,,18
19,"paltry-harlequin-stoat",,,,,,19
17,"DustChacaraSantoAmaro",-23.8081980745517,-46.6612100601196,,,"Ao lado do Parque Ecológico Varginha, Próx Represa Billings",17
20,"skinny-red-moth",,,,,,20
13,"gypsylab",-23.55187083133668,-46.65361404418945,,,"test device",13
21,"frumpy-linen-akbash",,,,,,21
4,"DustduinoBR-SP Vila Madalena01",-23.558991258177915,-46.68965220451355,,,"Vila Madalena - Rua Fradique Coutinho  - Sensor01",4
52,"HackeAr USP Clinicas",-23.55716201407347,-46.66985750198364,,,"Sensor dustduino para o projeto de pesquisa na USP",52
53,"[HackeAr] USP Clinicas",-23.5563162259328,-46.672067642211914,,,"Sensor de particulas pm10 e pm2.5",53
54,"craggy-sapphire-mouse",,,,,,54
22,"SENSOR",-23.524250941808575,-46.480300426483154,,,"Sensor instalado na minha casa por enquanto.",22
